period,year,month,quarter,continentId,continentName,value,quantity
2021-01,2021,1,1,1C,ทวีปอเมริกาเหนือ,2101627782.0,0.0
2021-01,2021,1,1,1A,ทวีปเอเชีย,2298625868.0,0.0
2021-01,2021,1,1,1B,ทวีปยุโรป,1327422016.0,0.0
2021-01,2021,1,1,1D,ทวีปอเมริกาใต้,17536735.0,0.0
2021-01,2021,1,1,1E,ทวีปแอฟริกา,22742976.0,0.0
2021-01,2021,1,1,1F,ทวีปออสเตรเลีย,6757882.0,0.0
2021-02,2021,2,1,1C,ทวีปอเมริกาเหนือ,2302540155.0,0.0
2021-02,2021,2,1,1A,ทวีปเอเชีย,2216982705.0,0.0
2021-02,2021,2,1,1B,ทวีปยุโรป,1291419082.0,0.0
2021-02,2021,2,1,1D,ทวีปอเมริกาใต้,27444371.0,0.0
2021-02,2021,2,1,1F,ทวีปออสเตรเลีย,28319598.0,0.0
2021-02,2021,2,1,1E,ทวีปแอฟริกา,10686831.0,0.0
2021-03,2021,3,1,1C,ทวีปอเมริกาเหนือ,2735982647.0,0.0
2021-03,2021,3,1,1B,ทวีปยุโรป,1571095221.0,0.0
2021-03,2021,3,1,1A,ทวีปเอเชีย,2356763723.0,0.0
2021-03,2021,3,1,1D,ทวีปอเมริกาใต้,123020185.0,0.0
2021-03,2021,3,1,1F,ทวีปออสเตรเลีย,5749092.0,0.0
2021-03,2021,3,1,1E,ทวีปแอฟริกา,13270841.0,0.0
2021-04,2021,4,2,1C,ทวีปอเมริกาเหนือ,2487890707.0,0.0
2021-04,2021,4,2,1B,ทวีปยุโรป,1370543352.0,0.0
2021-04,2021,4,2,1A,ทวีปเอเชีย,2007369353.0,0.0
2021-04,2021,4,2,1D,ทวีปอเมริกาใต้,129301818.0,0.0
2021-04,2021,4,2,1F,ทวีปออสเตรเลีย,22314097.0,0.0
2021-04,2021,4,2,1E,ทวีปแอฟริกา,11334335.0,0.0
2021-05,2021,5,2,1C,ทวีปอเมริกาเหนือ,2777374354.0,0.0
2021-05,2021,5,2,1A,ทวีปเอเชีย,2322192481.0,0.0
2021-05,2021,5,2,1B,ทวีปยุโรป,1440599823.0,0.0
2021-05,2021,5,2,1D,ทวีปอเมริกาใต้,189228509.0,0.0
2021-05,2021,5,2,1F,ทวีปออสเตรเลีย,5874883.0,0.0
2021-05,2021,5,2,1E,ทวีปแอฟริกา,29506507.0,0.0
2021-06,2021,6,2,1C,ทวีปอเมริกาเหนือ,3028672850.0,0.0
2021-06,2021,6,2,1A,ทวีปเอเชีย,2377409914.0,0.0
2021-06,2021,6,2,1B,ทวีปยุโรป,1590079472.0,0.0
2021-06,2021,6,2,1D,ทวีปอเมริกาใต้,19397583.0,0.0
2021-06,2021,6,2,1F,ทวีปออสเตรเลีย,21674367.0,0.0
2021-06,2021,6,2,1E,ทวีปแอฟริกา,20109653.0,0.0
2021-07,2021,7,3,1C,ทวีปอเมริกาเหนือ,3059010266.0,0.0
2021-07,2021,7,3,1A,ทวีปเอเชีย,2216328773.0,0.0
2021-07,2021,7,3,1B,ทวีปยุโรป,1279058969.0,0.0
2021-07,2021,7,3,1D,ทวีปอเมริกาใต้,41462572.0,0.0
2021-07,2021,7,3,1F,ทวีปออสเตรเลีย,17778582.0,0.0
2021-07,2021,7,3,1E,ทวีปแอฟริกา,5438336.0,0.0
2021-08,2021,8,3,1C,ทวีปอเมริกาเหนือ,2676322750.0,0.0
2021-08,2021,8,3,1A,ทวีปเอเชีย,2206512413.0,0.0
2021-08,2021,8,3,1B,ทวีปยุโรป,1356254057.0,0.0
2021-08,2021,8,3,1D,ทวีปอเมริกาใต้,55334534.0,0.0
2021-08,2021,8,3,1F,ทวีปออสเตรเลีย,21280150.0,0.0
2021-08,2021,8,3,1E,ทวีปแอฟริกา,7664874.0,0.0
2021-09,2021,9,3,1C,ทวีปอเมริกาเหนือ,2971111666.0,0.0
2021-09,2021,9,3,1A,ทวีปเอเชีย,2354926570.0,0.0
2021-09,2021,9,3,1B,ทวีปยุโรป,1268490436.0,0.0
2021-09,2021,9,3,1D,ทวีปอเมริกาใต้,8048011.0,0.0
2021-09,2021,9,3,1F,ทวีปออสเตรเลีย,13491247.0,0.0
2021-09,2021,9,3,1E,ทวีปแอฟริกา,30335273.0,0.0
2021-10,2021,10,4,1C,ทวีปอเมริกาเหนือ,2463065539.0,0.0
2021-10,2021,10,4,1A,ทวีปเอเชีย,2131733536.0,0.0
2021-10,2021,10,4,1B,ทวีปยุโรป,1438125255.0,0.0
2021-10,2021,10,4,1D,ทวีปอเมริกาใต้,12971759.0,0.0
2021-10,2021,10,4,1F,ทวีปออสเตรเลีย,39744164.0,0.0
2021-10,2021,10,4,1E,ทวีปแอฟริกา,31842864.0,0.0
2021-11,2021,11,4,1C,ทวีปอเมริกาเหนือ,3062092592.0,0.0
2021-11,2021,11,4,1A,ทวีปเอเชีย,2198280253.0,0.0
2021-11,2021,11,4,1B,ทวีปยุโรป,1472835391.0,0.0
2021-11,2021,11,4,1D,ทวีปอเมริกาใต้,12797947.0,0.0
2021-11,2021,11,4,1F,ทวีปออสเตรเลีย,10868267.0,0.0
2021-11,2021,11,4,1E,ทวีปแอฟริกา,7106082.0,0.0
2021-12,2021,12,4,1C,ทวีปอเมริกาเหนือ,3166885751.0,0.0
2021-12,2021,12,4,1A,ทวีปเอเชีย,2233210090.0,0.0
2021-12,2021,12,4,1B,ทวีปยุโรป,1342766835.0,0.0
2021-12,2021,12,4,1D,ทวีปอเมริกาใต้,24243602.0,0.0
2021-12,2021,12,4,1F,ทวีปออสเตรเลีย,15566969.0,0.0
2021-12,2021,12,4,1E,ทวีปแอฟริกา,7362814.0,0.0
2022-01,2022,1,1,1C,ทวีปอเมริกาเหนือ,2948043794.0,0.0
2022-01,2022,1,1,1A,ทวีปเอเชีย,2204751015.0,0.0
2022-01,2022,1,1,1B,ทวีปยุโรป,1488044031.0,0.0
2022-01,2022,1,1,1F,ทวีปออสเตรเลีย,181967005.0,0.0
2022-01,2022,1,1,1E,ทวีปแอฟริกา,24819003.0,0.0
2022-01,2022,1,1,1D,ทวีปอเมริกาใต้,12732607.0,0.0
2022-02,2022,2,1,1C,ทวีปอเมริกาเหนือ,3031763922.0,0.0
2022-02,2022,2,1,1A,ทวีปเอเชีย,2320595831.0,0.0
2022-02,2022,2,1,1B,ทวีปยุโรป,1473299897.0,0.0
2022-02,2022,2,1,1F,ทวีปออสเตรเลีย,29911584.0,0.0
2022-02,2022,2,1,1D,ทวีปอเมริกาใต้,8679755.0,0.0
2022-02,2022,2,1,1E,ทวีปแอฟริกา,23614060.0,0.0
2022-03,2022,3,1,1C,ทวีปอเมริกาเหนือ,3486619434.0,0.0
2022-03,2022,3,1,1A,ทวีปเอเชีย,2566619098.0,0.0
2022-03,2022,3,1,1B,ทวีปยุโรป,1694189578.0,0.0
2022-03,2022,3,1,1F,ทวีปออสเตรเลีย,23439982.0,0.0
2022-03,2022,3,1,1D,ทวีปอเมริกาใต้,14768414.0,0.0
2022-03,2022,3,1,1E,ทวีปแอฟริกา,5507446.0,0.0
2022-04,2022,4,2,1C,ทวีปอเมริกาเหนือ,3038341863.0,0.0
2022-04,2022,4,2,1A,ทวีปเอเชีย,2302820067.0,0.0
2022-04,2022,4,2,1B,ทวีปยุโรป,1516444802.0,0.0
2022-04,2022,4,2,1F,ทวีปออสเตรเลีย,10530554.0,0.0
2022-04,2022,4,2,1D,ทวีปอเมริกาใต้,21369935.0,0.0
2022-04,2022,4,2,1E,ทวีปแอฟริกา,16976441.0,0.0
2022-05,2022,5,2,1C,ทวีปอเมริกาเหนือ,4119216010.0,0.0
2022-05,2022,5,2,1A,ทวีปเอเชีย,2562818278.0,0.0
2022-05,2022,5,2,1B,ทวีปยุโรป,1388759934.0,0.0
2022-05,2022,5,2,1F,ทวีปออสเตรเลีย,25363240.0,0.0
2022-05,2022,5,2,1D,ทวีปอเมริกาใต้,54273826.0,0.0
2022-05,2022,5,2,1E,ทวีปแอฟริกา,19313316.0,0.0
2022-06,2022,6,2,1C,ทวีปอเมริกาเหนือ,4898723362.0,0.0
2022-06,2022,6,2,1A,ทวีปเอเชีย,2707304789.0,0.0
2022-06,2022,6,2,1B,ทวีปยุโรป,1824067620.0,0.0
2022-06,2022,6,2,1F,ทวีปออสเตรเลีย,16141339.0,0.0
2022-06,2022,6,2,1D,ทวีปอเมริกาใต้,17910310.0,0.0
2022-06,2022,6,2,1E,ทวีปแอฟริกา,12912831.0,0.0
2022-07,2022,7,3,1C,ทวีปอเมริกาเหนือ,5004280346.0,0.0
2022-07,2022,7,3,1A,ทวีปเอเชีย,3145140420.0,0.0
2022-07,2022,7,3,1B,ทวีปยุโรป,2015619974.0,0.0
2022-07,2022,7,3,1F,ทวีปออสเตรเลีย,71680985.0,0.0
2022-07,2022,7,3,1D,ทวีปอเมริกาใต้,21312227.0,0.0
2022-07,2022,7,3,1E,ทวีปแอฟริกา,4040201.0,0.0
2022-08,2022,8,3,1C,ทวีปอเมริกาเหนือ,5351866170.0,0.0
2022-08,2022,8,3,1A,ทวีปเอเชีย,3094078021.0,0.0
2022-08,2022,8,3,1B,ทวีปยุโรป,2349132684.0,0.0
2022-08,2022,8,3,1F,ทวีปออสเตรเลีย,27525244.0,0.0
2022-08,2022,8,3,1D,ทวีปอเมริกาใต้,24229448.0,0.0
2022-08,2022,8,3,1E,ทวีปแอฟริกา,10140894.0,0.0
2022-09,2022,9,3,1C,ทวีปอเมริกาเหนือ,5436179984.0,0.0
2022-09,2022,9,3,1A,ทวีปเอเชีย,2920733800.0,0.0
2022-09,2022,9,3,1B,ทวีปยุโรป,2414185653.0,0.0
2022-09,2022,9,3,1F,ทวีปออสเตรเลีย,11400531.0,0.0
2022-09,2022,9,3,1D,ทวีปอเมริกาใต้,22072725.0,0.0
2022-09,2022,9,3,1E,ทวีปแอฟริกา,15951257.0,0.0
2022-10,2022,10,4,1C,ทวีปอเมริกาเหนือ,5234970328.0,0.0
2022-10,2022,10,4,1A,ทวีปเอเชีย,2536032385.0,0.0
2022-10,2022,10,4,1B,ทวีปยุโรป,2724613527.0,0.0
2022-10,2022,10,4,1F,ทวีปออสเตรเลีย,24500075.0,0.0
2022-10,2022,10,4,1D,ทวีปอเมริกาใต้,17116511.0,0.0
2022-10,2022,10,4,1E,ทวีปแอฟริกา,6244183.0,0.0
2022-11,2022,11,4,1C,ทวีปอเมริกาเหนือ,5569304339.0,0.0
2022-11,2022,11,4,1A,ทวีปเอเชีย,2745845444.0,0.0
2022-11,2022,11,4,1B,ทวีปยุโรป,3034751981.0,0.0
2022-11,2022,11,4,1F,ทวีปออสเตรเลีย,25309477.0,0.0
2022-11,2022,11,4,1D,ทวีปอเมริกาใต้,9487037.0,0.0
2022-11,2022,11,4,1E,ทวีปแอฟริกา,6385436.0,0.0
2022-12,2022,12,4,1C,ทวีปอเมริกาเหนือ,5989467486.0,0.0
2022-12,2022,12,4,1A,ทวีปเอเชีย,2663664005.0,0.0
2022-12,2022,12,4,1B,ทวีปยุโรป,2614007084.0,0.0
2022-12,2022,12,4,1F,ทวีปออสเตรเลีย,2587552423.0,0.0
2022-12,2022,12,4,1D,ทวีปอเมริกาใต้,18163502.0,0.0
2022-12,2022,12,4,1E,ทวีปแอฟริกา,8182005.0,0.0
2023-01,2023,1,1,1C,ทวีปอเมริกาเหนือ,5469041735.0,0.0
2023-01,2023,1,1,1B,ทวีปยุโรป,2552594858.0,0.0
2023-01,2023,1,1,1A,ทวีปเอเชีย,2213391902.0,0.0
2023-01,2023,1,1,1F,ทวีปออสเตรเลีย,46682594.0,0.0
2023-01,2023,1,1,1D,ทวีปอเมริกาใต้,13962797.0,0.0
2023-01,2023,1,1,1E,ทวีปแอฟริกา,15089716.0,0.0
2023-02,2023,2,1,1C,ทวีปอเมริกาเหนือ,4277897449.0,0.0
2023-02,2023,2,1,1B,ทวีปยุโรป,2811741208.0,0.0
2023-02,2023,2,1,1A,ทวีปเอเชีย,2437951009.0,0.0
2023-02,2023,2,1,1F,ทวีปออสเตรเลีย,98662354.0,0.0
2023-02,2023,2,1,1D,ทวีปอเมริกาใต้,8601826.0,0.0
2023-02,2023,2,1,1E,ทวีปแอฟริกา,9151465.0,0.0
2023-03,2023,3,1,1C,ทวีปอเมริกาเหนือ,6435675967.0,0.0
2023-03,2023,3,1,1B,ทวีปยุโรป,3164466619.0,0.0
2023-03,2023,3,1,1A,ทวีปเอเชีย,3309224101.0,0.0
2023-03,2023,3,1,1F,ทวีปออสเตรเลีย,31093531.0,0.0
2023-03,2023,3,1,1D,ทวีปอเมริกาใต้,12856556.0,0.0
2023-03,2023,3,1,1E,ทวีปแอฟริกา,11113066.0,0.0
2023-04,2023,4,2,1C,ทวีปอเมริกาเหนือ,3986687536.0,0.0
2023-04,2023,4,2,1B,ทวีปยุโรป,2481498371.0,0.0
2023-04,2023,4,2,1A,ทวีปเอเชีย,2375961932.0,0.0
2023-04,2023,4,2,1F,ทวีปออสเตรเลีย,8509941.0,0.0
2023-04,2023,4,2,1D,ทวีปอเมริกาใต้,11714467.0,0.0
2023-04,2023,4,2,1E,ทวีปแอฟริกา,3891879.0,0.0
2023-05,2023,5,2,1C,ทวีปอเมริกาเหนือ,6408043210.0,0.0
2023-05,2023,5,2,1B,ทวีปยุโรป,3200700935.0,0.0
2023-05,2023,5,2,1A,ทวีปเอเชีย,3128001216.0,0.0
2023-05,2023,5,2,1F,ทวีปออสเตรเลีย,33642682.0,0.0
2023-05,2023,5,2,1D,ทวีปอเมริกาใต้,10989601.0,0.0
2023-05,2023,5,2,1E,ทวีปแอฟริกา,18381181.0,0.0
2023-05,2023,5,2,1G,ประเทศอื่น,2351.0,0.0
2023-06,2023,6,2,1C,ทวีปอเมริกาเหนือ,6980605180.0,0.0
2023-06,2023,6,2,1B,ทวีปยุโรป,3911575084.0,0.0
2023-06,2023,6,2,1A,ทวีปเอเชีย,2961060345.0,0.0
2023-06,2023,6,2,1F,ทวีปออสเตรเลีย,22576974.0,0.0
2023-06,2023,6,2,1D,ทวีปอเมริกาใต้,14928664.0,0.0
2023-06,2023,6,2,1E,ทวีปแอฟริกา,34737509.0,0.0
2023-06,2023,6,2,1G,ประเทศอื่น,0.0,0.0
2023-07,2023,7,3,1C,ทวีปอเมริกาเหนือ,6107662998.0,0.0
2023-07,2023,7,3,1B,ทวีปยุโรป,3632474839.0,0.0
2023-07,2023,7,3,1A,ทวีปเอเชีย,3277432066.0,0.0
2023-07,2023,7,3,1F,ทวีปออสเตรเลีย,16506135.0,0.0
2023-07,2023,7,3,1D,ทวีปอเมริกาใต้,9445263.0,0.0
2023-07,2023,7,3,1E,ทวีปแอฟริกา,23633751.0,0.0
2023-07,2023,7,3,1G,ประเทศอื่น,0.0,0.0
2023-08,2023,8,3,1C,ทวีปอเมริกาเหนือ,8718242851.0,0.0
2023-08,2023,8,3,1B,ทวีปยุโรป,3843267839.0,0.0
2023-08,2023,8,3,1A,ทวีปเอเชีย,3327037114.0,0.0
2023-08,2023,8,3,1F,ทวีปออสเตรเลีย,147661356.0,0.0
2023-08,2023,8,3,1D,ทวีปอเมริกาใต้,12470435.0,0.0
2023-08,2023,8,3,1E,ทวีปแอฟริกา,62986572.0,0.0
2023-08,2023,8,3,1G,ประเทศอื่น,0.0,0.0
2023-09,2023,9,3,1C,ทวีปอเมริกาเหนือ,7819079429.0,0.0
2023-09,2023,9,3,1B,ทวีปยุโรป,4285360966.0,0.0
2023-09,2023,9,3,1A,ทวีปเอเชีย,3333641245.0,0.0
2023-09,2023,9,3,1F,ทวีปออสเตรเลีย,60368344.0,0.0
2023-09,2023,9,3,1D,ทวีปอเมริกาใต้,7941042.0,0.0
2023-09,2023,9,3,1E,ทวีปแอฟริกา,12650915.0,0.0
2023-09,2023,9,3,1G,ประเทศอื่น,0.0,0.0
2023-10,2023,10,4,1C,ทวีปอเมริกาเหนือ,6940321172.0,0.0
2023-10,2023,10,4,1B,ทวีปยุโรป,3847818853.0,0.0
2023-10,2023,10,4,1A,ทวีปเอเชีย,3301927056.0,0.0
2023-10,2023,10,4,1F,ทวีปออสเตรเลีย,37196547.0,0.0
2023-10,2023,10,4,1D,ทวีปอเมริกาใต้,10124524.0,0.0
2023-10,2023,10,4,1E,ทวีปแอฟริกา,26336025.0,0.0
2023-10,2023,10,4,1G,ประเทศอื่น,0.0,0.0
2023-11,2023,11,4,1C,ทวีปอเมริกาเหนือ,6734702680.0,0.0
2023-11,2023,11,4,1B,ทวีปยุโรป,3538097736.0,0.0
2023-11,2023,11,4,1A,ทวีปเอเชีย,3229554467.0,0.0
2023-11,2023,11,4,1F,ทวีปออสเตรเลีย,10715439.0,0.0
2023-11,2023,11,4,1D,ทวีปอเมริกาใต้,7298915.0,0.0
2023-11,2023,11,4,1E,ทวีปแอฟริกา,5567149.0,0.0
2023-11,2023,11,4,1G,ประเทศอื่น,0.0,0.0
2023-12,2023,12,4,1C,ทวีปอเมริกาเหนือ,5246207724.0,0.0
2023-12,2023,12,4,1B,ทวีปยุโรป,3112885450.0,0.0
2023-12,2023,12,4,1A,ทวีปเอเชีย,3363217390.0,0.0
2023-12,2023,12,4,1F,ทวีปออสเตรเลีย,29721286.0,0.0
2023-12,2023,12,4,1D,ทวีปอเมริกาใต้,11270076.0,0.0
2023-12,2023,12,4,1E,ทวีปแอฟริกา,26467245.0,0.0
2023-12,2023,12,4,1G,ประเทศอื่น,0.0,0.0
2024-01,2024,1,1,1C,ทวีปอเมริกาเหนือ,5038822751.0,0.0
2024-01,2024,1,1,1B,ทวีปยุโรป,3346543629.0,0.0
2024-01,2024,1,1,1A,ทวีปเอเชีย,3226659199.0,0.0
2024-01,2024,1,1,1F,ทวีปออสเตรเลีย,40819888.0,0.0
2024-01,2024,1,1,1E,ทวีปแอฟริกา,16082981.0,0.0
2024-01,2024,1,1,1D,ทวีปอเมริกาใต้,6243337.0,0.0
2024-02,2024,2,1,1C,ทวีปอเมริกาเหนือ,7941412293.0,0.0
2024-02,2024,2,1,1B,ทวีปยุโรป,3176113478.0,0.0
2024-02,2024,2,1,1A,ทวีปเอเชีย,2920215029.0,0.0
2024-02,2024,2,1,1F,ทวีปออสเตรเลีย,38735285.0,0.0
2024-02,2024,2,1,1D,ทวีปอเมริกาใต้,20582644.0,0.0
2024-02,2024,2,1,1E,ทวีปแอฟริกา,9811508.0,0.0
2024-03,2024,3,1,1C,ทวีปอเมริกาเหนือ,7384234582.0,0.0
2024-03,2024,3,1,1B,ทวีปยุโรป,3282531072.0,0.0
2024-03,2024,3,1,1A,ทวีปเอเชีย,3268957918.0,0.0
2024-03,2024,3,1,1F,ทวีปออสเตรเลีย,43008744.0,0.0
2024-03,2024,3,1,1E,ทวีปแอฟริกา,83357441.0,0.0
2024-03,2024,3,1,1D,ทวีปอเมริกาใต้,60623244.0,0.0
2024-04,2024,4,2,1C,ทวีปอเมริกาเหนือ,6124902488.0,0.0
2024-04,2024,4,2,1B,ทวีปยุโรป,3359152190.0,0.0
2024-04,2024,4,2,1A,ทวีปเอเชีย,2783213397.0,0.0
2024-04,2024,4,2,1F,ทวีปออสเตรเลีย,44038509.0,0.0
2024-04,2024,4,2,1E,ทวีปแอฟริกา,20386008.0,0.0
