period,year,month,quarter,countryId,countryCode,countryName,continentId,continentName,value,quantity
2021-01,2021,1,1,373,US,สหรัฐอเมริกา,1C,ทวีปอเมริกาเหนือ,1902467822.0,0.0
2021-01,2021,1,1,302,CN,จีน,1A,ทวีปเอเชีย,615730050.0,0.0
2021-01,2021,1,1,325,NL,เนเธอร์แลนด์,1B,ทวีปยุโรป,565354353.0,0.0
2021-01,2021,1,1,304,JP,ญี่ปุ่น,1A,ทวีปเอเชีย,440028827.0,0.0
2021-01,2021,1,1,271,MY,มาเลเซีย,1A,ทวีปเอเชีย,243360437.0,0.0
2021-01,2021,1,1,323,IT,อิตาลี,1B,ทวีปยุโรป,236989899.0,0.0
2021-01,2021,1,1,303,HK,ฮ่องกง,1A,ทวีปเอเชีย,232767722.0,0.0
2021-01,2021,1,1,273,SG,สิงคโปร์,1A,ทวีปเอเชีย,221457541.0,0.0
2021-01,2021,1,1,315,DE,เยอรมนี,1B,ทวีปยุโรป,146917544.0,0.0
2021-01,2021,1,1,372,MX,เม็กซิโก,1C,ทวีปอเมริกาเหนือ,140227970.0,0.0
2021-01,2021,1,1,339,HU,ฮังการี,1B,ทวีปยุโรป,118291101.0,0.0
2021-01,2021,1,1,272,PH,ฟิลิปปินส์,1A,ทวีปเอเชีย,111987685.0,0.0
2021-01,2021,1,1,309,TW,ไต้หวัน,1A,ทวีปเอเชีย,87663541.0,0.0
2021-01,2021,1,1,268,KH,กัมพูชา,1A,ทวีปเอเชีย,84992716.0,0.0
2021-01,2021,1,1,279,IN,อินเดีย,1A,ทวีปเอเชีย,79029692.0,0.0
2021-01,2021,1,1,336,CZ,สาธารณรัฐเช็ก,1B,ทวีปยุโรป,78559800.0,0.0
2021-01,2021,1,1,371,CA,แคนาดา,1C,ทวีปอเมริกาเหนือ,58816828.0,0.0
2021-01,2021,1,1,306,KR,เกาหลีใต้,1A,ทวีปเอเชีย,57270505.0,0.0
2021-01,2021,1,1,274,VN,เวียดนาม,1A,ทวีปเอเชีย,48612009.0,0.0
2021-01,2021,1,1,347,SK,สโลวาเกีย,1B,ทวีปยุโรป,36538080.0,0.0
2021-01,2021,1,1,320,GB,สหราชอาณาจักร,1B,ทวีปยุโรป,34188214.0,0.0
2021-01,2021,1,1,319,FR,ฝรั่งเศส,1B,ทวีปยุโรป,27224395.0,0.0
2021-01,2021,1,1,316,DK,เดนมาร์ก,1B,ทวีปยุโรป,24788188.0,0.0
2021-01,2021,1,1,269,LA,สปป. ลาว,1A,ทวีปเอเชีย,24618565.0,0.0
2021-01,2021,1,1,270,MM,เมียนมา,1A,ทวีปเอเชีย,22413336.0,0.0
2021-01,2021,1,1,409,BR,บราซิล,1D,ทวีปอเมริกาใต้,16453855.0,0.0
2021-01,2021,1,1,437,EG,อียิปต์,1E,ทวีปแอฟริกา,11326096.0,0.0
2021-01,2021,1,1,343,PL,โปแลนด์,1B,ทวีปยุโรป,11313059.0,0.0
2021-01,2021,1,1,317,ES,สเปน,1B,ทวีปยุโรป,11140779.0,0.0
2021-01,2021,1,1,267,ID,อินโดนีเซีย,1A,ทวีปเอเชีย,10695638.0,0.0
2021-01,2021,1,1,312,AT,ออสเตรีย,1B,ทวีปยุโรป,10011795.0,0.0
2021-01,2021,1,1,298,TR,ตุรกี,1A,ทวีปเอเชีย,9699100.0,0.0
2021-01,2021,1,1,327,SE,สวีเดน,1B,ทวีปยุโรป,8741581.0,0.0
2021-01,2021,1,1,458,MZ,โมซัมบิก,1E,ทวีปแอฟริกา,8109014.0,0.0
2021-01,2021,1,1,483,AU,ออสเตรเลีย,1F,ทวีปออสเตรเลีย,5845955.0,0.0
2021-01,2021,1,1,346,SI,สโลวีเนีย,1B,ทวีปยุโรป,5128124.0,0.0
2021-01,2021,1,1,344,RO,โรมาเนีย,1B,ทวีปยุโรป,4662177.0,0.0
2021-01,2021,1,1,345,RU,รัสเซีย,1B,ทวีปยุโรป,3395535.0,0.0
2021-01,2021,1,1,283,PK,ปากีสถาน,1A,ทวีปเอเชีย,2974476.0,0.0
2021-01,2021,1,1,478,ZA,แอฟริกาใต้,1E,ทวีปแอฟริกา,2587534.0,0.0
2021-01,2021,1,1,288,IL,อิสราเอล,1A,ทวีปเอเชีย,1887048.0,0.0
2021-01,2021,1,1,326,PT,โปรตุเกส,1B,ทวีปยุโรป,1437052.0,0.0
2021-01,2021,1,1,280,LK,ศรีลังกา,1A,ทวีปเอเชีย,1156640.0,0.0
2021-01,2021,1,1,313,BE,เบลเยียม,1B,ทวีปยุโรป,1130464.0,0.0
2021-01,2021,1,1,356,CH,สวิตเซอร์แลนด์,1B,ทวีปยุโรป,1053796.0,0.0
2021-01,2021,1,1,277,BD,บังกลาเทศ,1A,ทวีปเอเชีย,821311.0,0.0
2021-01,2021,1,1,266,BN,บรูไน,1A,ทวีปเอเชีย,783038.0,0.0
2021-01,2021,1,1,411,CO,โคลอมเบีย,1D,ทวีปอเมริกาใต้,703061.0,0.0
2021-01,2021,1,1,497,NZ,นิวซีแลนด์,1F,ทวีปออสเตรเลีย,655015.0,0.0
2021-01,2021,1,1,452,MA,โมร็อกโก,1E,ทวีปแอฟริกา,423445.0,0.0
2021-01,2021,1,1,322,IE,ไอร์แลนด์,1B,ทวีปยุโรป,288703.0,0.0
