period,year,month,quarter,value,quantity,ytdValue,ytdQuantity
2021-01,2021,1,1,5774713259.0,0.0,5774713259.0,0.0
2021-02,2021,2,1,5877392742.0,0.0,11652106001.0,0.0
2021-03,2021,3,1,6805881709.0,0.0,18457987710.0,0.0
2021-04,2021,4,2,6028753662.0,0.0,24486741372.0,0.0
2021-05,2021,5,2,6764776557.0,0.0,31251517929.0,0.0
2021-06,2021,6,2,7057343839.0,0.0,38308861768.0,0.0
2021-07,2021,7,3,6619077498.0,0.0,44927939266.0,0.0
2021-08,2021,8,3,6323368778.0,0.0,51251308044.0,0.0
2021-09,2021,9,3,6646403203.0,0.0,57897711247.0,0.0
2021-10,2021,10,4,6117483117.0,0.0,64015194364.0,0.0
2021-11,2021,11,4,6763980532.0,0.0,70779174896.0,0.0
2021-12,2021,12,4,6790036061.0,0.0,77569210957.0,0.0
2022-01,2022,1,1,6860357455.0,0.0,6860357455.0,0.0
2022-02,2022,2,1,6887865049.0,0.0,13748222504.0,0.0
2022-03,2022,3,1,7791143952.0,0.0,21539366456.0,0.0
2022-04,2022,4,2,6906483662.0,0.0,28445850118.0,0.0
2022-05,2022,5,2,8169744604.0,0.0,36615594722.0,0.0
2022-06,2022,6,2,9477060251.0,0.0,46092654973.0,0.0
2022-07,2022,7,3,10262074153.0,0.0,56354729126.0,0.0
2022-08,2022,8,3,10856972461.0,0.0,67211701587.0,0.0
2022-09,2022,9,3,10820523950.0,0.0,78032225537.0,0.0
2022-10,2022,10,4,10543477009.0,0.0,88575702546.0,0.0
2022-11,2022,11,4,11391083714.0,0.0,99966786260.0,0.0
2022-12,2022,12,4,13881036505.0,0.0,113847822765.0,0.0
2023-01,2023,1,1,10310763602.0,0.0,10310763602.0,0.0
2023-02,2023,2,1,9644005311.0,0.0,19954768913.0,0.0
2023-03,2023,3,1,12964429840.0,0.0,32919198753.0,0.0
2023-04,2023,4,2,8868264126.0,0.0,41787462879.0,0.0
2023-05,2023,5,2,12799761176.0,0.0,54587224055.0,0.0
2023-06,2023,6,2,13925483756.0,0.0,68512707811.0,0.0
2023-07,2023,7,3,13067155052.0,0.0,81579862863.0,0.0
2023-08,2023,8,3,16111666167.0,0.0,97691529030.0,0.0
2023-09,2023,9,3,15519041941.0,0.0,113210570971.0,0.0
2023-10,2023,10,4,14163724177.0,0.0,127374295148.0,0.0
2023-11,2023,11,4,13525936386.0,0.0,140900231534.0,0.0
2023-12,2023,12,4,11789769171.0,0.0,152690000705.0,0.0
2024-01,2024,1,1,11675171785.0,0.0,11675171785.0,0.0
2024-02,2024,2,1,14106870237.0,0.0,25782042022.0,0.0
2024-03,2024,3,1,14122713001.0,0.0,39904755023.0,0.0
2024-04,2024,4,2,12363090560.0,0.0,52267845583.0,0.0
2024-05,2024,5,2,12998449356.0,0.0,65266294939.0,0.0
2024-06,2024,6,2,13187402805.0,0.0,78453697744.0,0.0
2024-07,2024,7,3,15885729114.0,0.0,94339426858.0,0.0
2024-08,2024,8,3,17267469361.0,0.0,111606896219.0,0.0
2024-09,2024,9,3,14375410802.0,0.0,125982307021.0,0.0
2024-10,2024,10,4,16100485978.0,0.0,142082792999.0,0.0
2024-11,2024,11,4,14152259452.0,0.0,156235052451.0,0.0
2024-12,2024,12,4,13833858979.0,0.0,170068911430.0,0.0
2025-01,2025,1,1,14337579008.0,0.0,14337579008.0,0.0
2025-02,2025,2,1,13888630323.0,0.0,28226209331.0,0.0
2025-03,2025,3,1,16121289847.0,0.0,44347499178.0,0.0
2025-04,2025,4,2,13805581003.0,0.0,58153080181.0,0.0
2025-05,2025,5,2,18199244284.0,0.0,76352324465.0,0.0
2025-06,2025,6,2,16337411097.0,0.0,92689735562.0,0.0
2025-07,2025,7,3,16949259882.0,0.0,109638995444.0,0.0
2025-08,2025,8,3,16458720149.0,0.0,126097715593.0,0.0
2025-09,2025,9,3,18061648179.0,0.0,144159363772.0,0.0
2025-10,2025,10,4,17514926663.0,0.0,161674290435.0,0.0
2025-11,2025,11,4,16294980074.0,0.0,177969270509.0,0.0
2025-12,2025,12,4,19816269644.0,0.0,197785540153.0,0.0
2026-01,2026,1,1,17252488171.0,0.0,17252488171.0,0.0
2026-02,2026,2,1,18660248420.0,0.0,35912736591.0,0.0
2026-03,2026,3,1,19316393092.0,0.0,55229129683.0,0.0
2026-04,2026,4,2,18376480936.0,0.0,73605610619.0,0.0
